newid,lact_num,calv_date,alp_date,avg_milk,avg_thi3,avg_csi3,avg_thi30,avg_csi30,avg_precspring
417392,2,2015-01-08,2015-06-23,18.42,55.61,1041.07,56.23,1054.63,115.51
149128,2,2005-02-24,2005-06-23,18.16,55.81,1009.60,53.59,1047.30,118.47
22086,5,2001-12-04,2002-06-15,11.27,63.45,969.05,62.20,1003.62,166.89
376746,1,2011-10-03,2012-06-11,12.33,58.87,1035.01,61.65,1012.53,136.03
212842,2,2007-09-27,2008-06-04,18.10,62.66,991.77,61.36,984.47,153.85
154884,1,2005-09-19,2006-06-27,10.47,61.58,1033.90,60.94,1027.24,138.09
198217,5,2008-01-11,2008-05-16,22.73,52.69,1093.09,53.82,1057.67,108.05
87933,3,2000-12-30,2001-05-31,16.47,64.31,966.44,61.58,999.75,158.59
190526,4,2011-02-12,2011-06-22,26.86,54.22,1063.07,54.53,1059.28,77.25
416405,3,2014-12-26,2015-05-26,20.00,62.04,1014.93,64.65,995.34,156.39
197872,1,2005-10-22,2006-06-26,10.53,62.80,1004.15,56.90,1053.85,75.86
103390,1,2003-10-18,2004-06-26,7.60,60.24,993.81,54.05,1085.19,165.86
368308,1,2013-02-13,2013-06-11,17.63,51.34,1072.01,51.59,1060.22,135.84
28115,6,2001-02-10,2001-07-06,19.34,46.74,1154.59,47.72,1140.34,66.35
328254,2,2011-10-16,2012-06-13,12.70,58.40,1097.48,58.04,1069.42,177.04
221895,4,2007-11-05,2008-06-23,15.40,54.04,1113.86,52.10,1139.34,162.08
203614,1,2007-01-24,2007-06-17,17.65,46.96,1160.95,46.69,1165.34,162.46
200422,3,2008-11-11,2009-06-08,15.07,54.14,1165.16,58.31,1079.96,186.92
204747,1,2006-02-08,2006-06-16,18.16,53.23,1072.25,55.24,1062.36,45.62
341343,1,2011-02-06,2011-06-26,19.77,56.27,1013.29,54.16,1040.98,107.23
140369,2,2004-11-21,2005-06-20,12.53,67.46,960.45,61.04,1043.31,134.19
388502,1,2013-12-01,2014-06-06,19.10,56.86,1106.58,56.75,1105.93,192.29
375302,1,2013-09-22,2014-06-26,18.00,57.28,1025.62,60.61,1046.12,135.55
317361,1,2007-11-29,2008-06-20,18.30,63.00,982.85,61.03,1010.20,129.07
205613,1,2007-02-26,2007-06-07,21.61,51.86,1067.03,53.38,1094.06,124.37
393040,1,2014-01-22,2014-06-09,16.84,49.27,1109.22,50.33,1098.10,145.12
363128,4,2012-12-08,2013-06-25,14.40,59.17,1064.30,62.68,965.15,122.89
93566,2,2001-02-15,2001-06-01,15.39,56.13,1048.51,56.39,1044.41,143.34
195964,2,2007-12-19,2008-06-24,12.63,69.33,939.97,62.86,1025.89,152.32
385097,2,2009-11-23,2010-06-29,14.30,62.03,1005.53,59.57,1029.85,87.77
87886,2,2004-02-13,2004-06-25,17.10,45.67,1141.58,49.79,1095.29,117.75
415892,1,2013-10-02,2014-06-30,15.83,60.10,1088.10,60.00,1075.61,249.74
331013,2,2012-10-27,2013-06-28,13.10,56.33,1095.13,57.80,1064.30,165.35
412041,1,2014-11-15,2015-06-15,19.43,62.35,1012.05,62.98,989.64,173.79
151319,4,2004-01-28,2004-07-10,23.14,53.35,1069.92,55.14,1060.75,98.69
370436,2,2011-02-20,2011-05-24,21.65,54.99,987.12,53.00,1064.18,148.44
84895,2,2002-12-13,2003-06-03,15.13,73.38,837.21,68.39,915.67,114.88
19510,2,2000-11-21,2001-06-21,15.87,58.68,1012.00,54.85,1110.74,186.61
391052,1,2011-12-10,2012-06-22,13.03,68.47,979.38,66.07,984.78,72.76
